Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,age,S_Score
3.35,5.59,27000,0,0,0,0,7,421
4.75,9.54,43000,1,0,0,0,8,480
7.25,9.85,6900,0,0,0,0,4,872
2.85,4.15,5200,0,0,0,0,10,468
4.6,6.87,42450,1,0,0,0,7,348
9.25,9.83,2071,1,0,0,0,3,524
6.75,8.12,18796,0,0,0,0,6,317
6.5,8.61,33429,1,0,0,0,6,300
8.75,8.89,20273,1,0,0,0,5,416
7.45,8.92,42367,1,0,0,0,6,899
2.85,3.6,2135,0,0,0,0,4,521
6.85,10.38,51000,1,0,0,0,6,716
7.5,9.94,15000,0,0,1,0,6,483
6.1,7.71,26000,0,0,0,0,6,361
2.25,7.21,77427,0,0,0,0,12,517
7.75,10.79,43000,1,0,0,0,5,417
7.25,10.79,41678,1,0,0,0,6,498
7.75,10.79,43000,1,0,0,0,5,685
3.25,5.09,35500,2,0,0,0,6,422
2.65,7.98,41442,0,0,0,0,11,533
2.85,3.95,25000,0,0,0,0,5,367
4.9,5.71,2400,0,0,0,0,4,347
4.4,8.01,50000,0,0,1,0,10,848
2.5,3.46,45280,0,0,0,0,7,869
2.9,4.41,56879,0,0,0,0,8,668
3,4.99,20000,0,0,0,0,10,679
4.15,5.87,55138,0,0,0,0,8,872
6,6.49,16200,0,1,0,0,4,592
1.95,3.95,44542,0,0,0,0,11,797
7.45,10.38,45000,1,0,0,0,6,498
3.1,5.98,51439,1,0,0,0,9,342
2.35,4.89,54200,0,0,0,0,10,694
4.95,7.49,39000,1,0,0,0,7,534
6,9.95,45000,1,0,0,0,7,581
5.5,8.06,45000,1,0,0,0,7,391
2.95,7.74,49998,2,0,0,0,10,803
4.65,7.2,48767,0,0,0,0,6,718
0.35,2.28,127000,0,1,0,0,18,315
3,3.76,10079,0,0,0,0,5,839
2.25,7.98,62000,0,0,0,0,18,562
5.85,7.87,24524,0,0,1,0,5,783
2.55,3.98,46706,0,0,0,0,7,560
1.95,7.15,58000,0,0,0,0,13,343
5.5,8.06,45780,1,0,0,0,7,404
1.25,2.69,50000,0,0,0,0,9,364
7.5,12.04,15000,0,0,1,0,7,585
2.65,4.89,64532,0,0,0,0,8,876
1.05,4.15,65000,0,0,0,0,15,561
5.8,7.71,25870,0,0,0,0,6,874
7.75,9.29,37000,0,0,1,0,4,371
14.9,30.61,104707,1,0,1,0,9,495
23,30.61,40000,1,0,1,0,6,554
18,19.77,15000,1,0,1,0,4,308
16,30.61,135000,1,1,1,0,8,808
2.75,10.21,90000,0,1,0,0,16,891
3.6,15.04,70000,0,0,1,0,12,830
4.5,7.27,40534,0,0,0,0,6,340
4.75,18.54,50000,0,0,0,0,11,534
4.1,6.8,39485,0,0,0,1,7,596
19.99,35.96,41000,1,0,1,0,7,373
6.95,18.61,40001,0,0,0,0,8,588
4.5,7.7,40588,0,0,0,0,6,792
18.75,35.96,78000,1,0,1,0,7,340
23.5,35.96,47000,1,0,1,0,6,538
33,36.23,6000,1,0,1,0,4,422
4.75,6.95,45000,1,0,0,0,7,664
19.75,23.15,11000,0,0,1,0,4,396
9.25,20.45,59000,1,0,0,0,11,324
4.35,13.74,88000,0,0,0,0,10,619
14.25,20.91,12000,0,0,0,0,5,688
3.95,6.76,71000,1,0,0,0,7,549
4.5,12.48,45000,1,0,0,0,10,474
7.45,18.61,56001,0,0,0,0,8,512
2.65,5.71,43000,0,0,0,0,10,411
4.9,8.93,83000,1,0,0,0,7,862
3.95,6.8,36000,0,0,0,0,6,570
5.5,14.68,72000,0,0,0,0,8,734
1.5,12.35,135154,0,0,1,0,17,481
5.25,22.83,80000,0,0,1,0,11,822
14.5,30.61,89000,1,0,1,0,9,856
14.73,14.89,23000,1,0,0,0,5,854
4.75,7.85,40000,1,0,0,0,6,803
23,25.39,15000,1,0,1,0,4,508
12.5,13.46,38000,1,0,0,0,6,673
3.49,13.46,197176,1,0,0,0,16,375
2.5,23.73,142000,0,1,1,3,15,723
35,92.6,78000,1,0,0,0,11,721
5.9,13.74,56000,0,0,0,0,9,529
3.45,6.05,47000,0,0,0,0,8,853
4.75,6.76,40000,0,0,0,0,7,338
3.8,18.61,62000,0,0,0,0,12,730
11.25,16.09,58242,1,0,0,0,7,616
3.51,13.7,75000,0,0,0,0,16,677
23,30.61,40000,1,0,1,0,6,413
4,22.78,89000,0,0,1,0,13,541
5.85,18.61,72000,0,0,0,0,9,857
20.75,25.39,29000,1,0,1,0,5,559
17,18.64,8700,0,0,0,0,4,741
7.05,18.61,45000,0,0,0,0,8,522
9.65,20.45,50024,1,0,0,0,11,781
1.75,1.9,3000,0,1,0,0,5,747
1.7,1.82,1400,0,1,0,0,4,734
1.65,1.78,4000,0,1,0,0,4,588
1.45,1.6,1200,0,1,0,0,4,364
1.35,1.47,4100,0,1,0,0,4,376
1.35,2.37,21700,0,1,0,0,6,810
1.35,3.45,16500,0,1,0,1,7,794
1.25,1.5,15000,0,1,0,0,8,567
1.2,1.5,18000,0,1,0,0,5,515
1.2,1.47,11000,0,1,0,0,4,621
1.2,1.78,6000,0,1,0,0,5,588
1.15,1.5,8700,0,1,0,0,5,562
1.15,2.4,7000,0,1,0,0,7,837
1.15,1.4,35000,0,1,0,0,5,775
1.15,1.47,17000,0,1,0,0,6,755
1.11,1.47,17500,0,1,0,0,6,800
1.1,1.47,33000,0,1,0,0,8,341
1.1,1.9,14000,0,1,0,0,6,381
1.1,1.47,26000,0,1,0,0,6,733
1.05,1.9,5400,0,1,0,0,8,893
1.05,1.26,5700,0,1,0,0,5,830
1.05,1.5,6900,0,1,0,0,10,698
1.05,1.17,6000,0,1,0,0,5,878
1,1.47,46500,0,1,0,0,8,893
0.95,1.75,11500,0,1,0,0,9,339
0.9,1.75,40000,0,1,0,0,12,867
0.9,0.95,1300,0,1,0,0,4,600
0.75,0.8,7000,0,1,0,0,5,515
0.8,0.87,3000,0,1,0,0,4,604
0.78,0.84,5000,0,1,0,0,4,634
0.75,0.87,11000,0,1,0,0,4,627
0.75,0.82,18000,0,1,0,0,6,437
0.75,0.95,3500,0,1,0,0,4,729
0.72,0.95,500,0,1,0,0,5,872
0.65,0.81,11800,0,1,0,0,4,744
0.65,0.74,5000,0,1,0,0,6,810
0.65,1.2,23500,0,1,0,0,7,433
0.65,0.787,16000,0,1,0,0,8,780
0.6,0.87,15000,0,1,0,0,5,339
0.6,0.95,16600,0,1,0,0,6,652
0.6,1.2,32000,0,1,0,0,8,465
0.6,0.8,20000,0,1,0,0,5,390
0.6,0.84,29000,0,1,0,0,6,488
0.6,0.84,25000,0,1,0,0,5,781
0.6,0.99,25000,0,1,0,0,7,363
0.6,0.81,19000,0,1,0,0,9,628
0.55,0.787,15000,0,1,0,0,7,563
0.55,0.84,58000,0,1,0,0,6,694
0.52,0.94,45000,0,1,0,0,11,559
0.51,0.94,24000,0,1,0,0,5,704
0.5,0.826,6000,0,1,0,0,10,637
0.5,0.55,31000,0,1,0,0,5,548
0.5,0.99,13000,0,1,0,0,9,632
0.5,0.99,45000,0,1,0,0,8,468
0.5,0.88,8000,0,1,0,0,7,737
0.48,0.51,4300,0,1,1,0,4,754
0.48,0.52,15000,0,1,0,0,4,630
0.48,0.84,23000,0,1,0,0,6,821
0.48,0.54,8600,0,1,0,0,4,715
0.45,0.51,4000,0,1,1,0,4,623
0.45,0.95,24000,0,1,0,0,10,693
0.45,0.826,23000,0,1,0,0,7,338
0.45,0.99,14500,0,1,0,0,9,409
0.45,0.95,27000,0,1,0,0,11,633
0.45,0.54,14000,0,1,0,0,5,808
0.45,0.54,500,0,1,1,0,5,743
0.45,0.55,1000,0,1,0,0,5,366
0.42,0.81,42000,0,1,0,0,7,439
0.42,0.73,12000,0,1,0,0,8,311
0.4,0.54,14000,0,1,0,0,6,660
0.4,0.83,5500,0,1,0,0,9,383
0.4,0.55,6700,0,1,0,0,6,623
0.4,0.64,13700,0,1,0,0,7,846
0.4,0.51,1300,0,1,1,0,4,584
0.38,0.72,38600,0,1,0,0,6,820
0.38,0.787,75000,0,1,0,0,10,342
0.35,1.05,30000,0,1,0,0,10,378
0.35,0.57,24000,0,1,1,0,5,584
0.35,0.52,19000,0,1,1,0,7,689
0.31,1.05,213000,0,1,0,0,11,300
0.3,0.51,60000,0,1,0,0,9,421
0.3,0.48,50000,0,1,0,0,5,319
0.3,0.58,30000,0,1,0,0,8,739
0.27,0.47,21000,0,1,0,0,8,608
0.25,0.75,26000,0,1,0,1,13,612
0.25,0.58,1900,0,1,1,0,13,371
0.25,0.52,22000,0,1,1,0,11,866
0.25,0.51,32000,0,1,0,0,8,545
0.25,0.57,18000,0,1,0,0,8,622
0.2,0.57,55000,0,1,0,0,16,880
0.2,0.75,60000,0,1,0,0,13,692
0.2,0.57,25000,0,1,0,1,9,791
0.2,0.75,49000,0,1,0,1,14,481
0.2,0.65,24000,0,1,0,1,8,524
0.2,0.787,50000,0,1,0,0,13,366
0.18,0.32,35000,0,1,0,0,6,487
0.17,0.52,500000,0,1,1,0,13,681
0.16,0.51,33000,0,1,0,0,11,871
0.15,0.57,35000,0,1,0,1,10,626
0.12,0.58,53000,0,1,0,0,14,476
0.1,0.75,92233,0,1,0,0,15,833
3.25,6.79,58000,1,0,0,1,11,700
4.4,5.7,28200,0,0,0,0,6,644
2.95,4.6,53460,0,0,0,0,10,415
2.75,4.43,28282,0,0,0,0,6,445
5.25,5.7,3493,0,0,0,1,5,745
5.75,7.13,12479,0,0,0,0,4,701
5.15,5.7,34797,0,0,1,0,6,843
7.9,8.1,3435,0,0,0,0,4,846
4.85,5.7,21125,1,0,0,0,6,429
3.1,4.6,35775,0,0,0,0,9,452
11.75,14.79,43535,1,0,0,0,6,830
11.25,13.6,22671,0,0,0,0,5,573
2.9,6.79,31604,0,0,0,0,10,596
5.25,5.7,20114,0,0,0,0,4,374
4.5,9.4,36100,0,0,0,0,9,588
2.9,4.43,12500,0,0,0,0,5,711
3.15,4.43,15000,0,0,0,0,5,771
6.45,9.4,45078,0,0,0,0,7,619
4.5,9.4,36000,0,0,0,0,9,576
3.5,4.43,38488,0,0,0,0,4,415
4.5,6.79,32000,0,0,1,0,8,696
6,7.6,77632,1,0,0,0,7,365
8.25,9.4,61381,1,0,0,0,6,346
5.11,9.4,36198,0,0,1,0,8,738
2.7,4.6,22517,0,0,0,0,10,802
5.25,5.7,24678,0,0,0,0,6,514
2.55,4.43,57000,0,0,0,0,10,757
4.95,9.4,60000,1,0,0,0,9,881
3.1,6.79,52132,1,0,0,0,9,861
6.15,9.4,45000,1,0,0,0,8,318
9.25,9.4,15001,0,0,0,0,4,447
11.45,14.79,12900,0,0,1,0,6,398
3.9,5.7,53000,1,0,0,0,8,406
5.5,5.7,4492,0,0,0,0,6,378
9.1,9.4,15141,0,0,0,0,4,844
3.1,4.43,11849,0,0,0,0,5,556
11.25,13.6,68000,1,0,0,0,6,853
4.8,9.4,60241,0,0,0,0,8,676
2,4.43,23709,0,0,0,0,9,432
5.35,9.4,32322,1,0,0,0,9,321
4.75,7.13,35866,0,0,0,1,6,551
4.4,7.13,34000,0,0,0,0,7,429
6.25,7.6,7000,0,0,0,0,5,584
5.95,9.4,49000,1,0,0,0,8,472
5.2,9.4,71000,1,0,0,0,9,614
3.75,6.79,35000,0,0,0,0,9,689
5.95,9.4,36000,0,0,0,0,6,484
4,4.6,30000,0,0,0,0,8,820
5.25,7.6,17000,0,0,0,0,5,791
12.9,13.6,35934,1,0,0,0,5,417
5,9.9,56701,0,0,0,0,8,439
5.4,6.82,31427,0,0,1,0,6,677
7.2,9.9,48000,1,0,0,0,7,437
5.25,9.9,54242,0,0,0,0,8,771
3,5.35,53675,0,0,0,0,9,898
10.25,13.6,49562,0,0,0,0,5,882
8.5,13.6,40324,0,0,0,0,6,528
8.4,13.6,25000,0,0,0,0,6,446
3.9,7,36054,0,0,0,0,7,640
9.15,13.6,29223,0,0,0,0,5,717
5.5,5.97,5600,0,0,0,0,5,753
4,5.8,40023,0,0,0,0,6,823
6.6,7.7,16002,0,0,0,0,5,627
4,7,40026,0,0,0,0,6,516
6.5,8.7,21200,0,0,0,0,4,442
3.65,7,35000,0,0,0,0,7,428
8.35,9.4,19434,1,0,0,0,5,897
4.8,5.8,19000,0,0,0,0,4,697
6.7,10,18828,0,0,0,0,6,765
4.1,10,69341,0,0,0,0,10,651
3,10,69562,0,0,0,0,12,352
7.5,10,27600,0,0,0,0,6,466
2.25,7.5,61203,0,0,0,0,11,715
5.3,6.8,16500,0,0,0,0,7,485
10.9,13.6,30753,0,0,1,0,5,546
8.65,13.6,24800,0,0,0,0,6,900
9.7,13.6,21780,0,0,0,0,6,700
6,8.4,4000,0,0,0,0,5,372
6.25,13.6,40126,0,0,0,0,7,599
5.25,5.9,14465,0,0,0,0,6,682
2.1,7.6,50456,0,0,0,0,15,591
8.25,14,63000,1,0,0,0,7,575
8.99,11.8,9010,0,0,0,0,5,880
3.5,5.9,9800,0,0,0,0,8,540
7.4,8.5,15059,0,0,1,0,5,600
5.65,7.9,28569,0,0,0,0,5,660
5.75,7.5,44000,0,0,1,0,6,641
8.4,13.6,34000,0,0,0,0,6,882
10.11,13.6,10980,0,0,0,0,5,366
4.5,6.4,19000,0,0,0,0,7,750
5.4,6.1,31427,0,0,0,0,6,733
6.4,8.4,12000,0,0,0,0,5,557
3.25,9.9,38000,0,0,0,0,11,727
3.75,6.8,33019,0,0,0,0,7,411
8.55,13.09,60076,1,0,0,0,6,436
9.5,11.6,33988,1,0,0,0,5,680
4,5.9,60000,0,0,0,0,6,468
3.35,11,87934,0,0,0,0,12,626
11.5,12.5,9000,1,0,0,0,4,578
5.3,5.9,5464,0,0,0,0,5,482